Filename,BPM,Key,Happy,Sad,Relaxed,Aggressive,Danceability
2002177393.mp3,122,Eb minor,0.533,0.869,0.783,0.254,0.356
2002277471.mp3,121,E major,0.587,0.960,0.720,0.050,0.774
2007003352.mp3,110,A minor,0.606,0.959,0.898,0.009,0.602
2009192460.mp3,129,Ab major,0.686,0.417,0.553,0.176,0.890
2011656186.mp3,70,A minor,0.395,0.965,0.941,0.043,0.074
2011670456.mp3,116,Bb major,0.501,0.442,0.543,0.176,0.945
2026592393.mp3,114,A minor,0.392,0.702,0.655,0.132,0.861
2045850851.mp3,125,D major,0.676,0.688,0.866,0.165,0.997
2046071635.mp3,128,E minor,0.679,0.357,0.518,0.284,1.000
2046626875.mp3,124,D minor,0.600,0.922,0.715,0.025,0.851
2048648498.mp3,124,D major,0.583,0.982,0.769,0.047,0.348
2060791592.mp3,93,F major,0.154,0.997,0.929,0.143,0.120
2061009576.mp3,129,G major,0.477,0.891,0.846,0.115,0.754
2064123958.mp3,146,E minor,0.482,0.683,0.655,0.078,0.904
2070486741.mp3,86,B minor,0.427,0.954,0.755,0.093,0.570
2072400118.mp3,124,Ab major,0.140,0.988,0.875,0.026,0.295
2073052087.mp3,86,E major,0.465,0.882,0.717,0.043,0.866
2074773340.mp3,120,Bb major,0.175,0.983,0.908,0.036,0.087
2074795633.mp3,120,C major,0.455,0.955,0.680,0.109,0.823
2076085706.mp3,88,F major,0.398,0.991,0.825,0.015,0.933
2076272526.mp3,65,A minor,0.103,0.998,0.836,0.057,0.218
2077025245.mp3,87,C major,0.722,0.505,0.540,0.885,0.953
2077338538.mp3,96,A major,0.396,0.718,0.475,0.370,0.553
2078592485.mp3,120,A major,0.548,0.974,0.903,0.023,0.705
2078592486.mp3,80,Bb major,0.401,0.921,0.860,0.152,0.884
2078592492.mp3,85,C major,0.620,0.995,0.690,0.024,0.841
2078595726.mp3,95,F major,0.413,0.835,0.591,0.262,0.993
2078758793.mp3,120,Ab major,0.365,0.998,0.785,0.045,0.890
2078871377.mp3,135,G major,0.674,0.848,0.445,0.195,0.892
2078934619.mp3,130,C# minor,0.719,0.473,0.479,0.804,0.863
2079172434.mp3,130,F major,0.736,0.318,0.480,0.206,1.000
2081818803.mp3,81,E major,0.232,0.969,0.770,0.021,0.158
2083141464.mp3,140,Bb minor,0.267,0.966,0.805,0.037,0.222
2083465206.mp3,58,G minor,0.341,0.768,0.555,0.431,0.870
2083465207.mp3,93,G minor,0.279,0.766,0.635,0.459,0.789
2084053068.mp3,134,D minor,0.755,0.598,0.526,0.059,1.000
2084962984.mp3,106,B major,0.296,0.980,0.804,0.025,0.463
2085199666.mp3,128,F# minor,0.645,0.390,0.539,0.342,0.991
2094093308.mp3,132,G major,0.685,0.930,0.668,0.023,0.692
2097614892.mp3,128,Ab major,0.753,0.390,0.511,0.122,0.929
2098618196.mp3,140,B major,0.477,0.918,0.899,0.023,0.061
2099550857.mp3,150,A minor,0.722,0.504,0.625,0.581,0.995
2100105694.mp3,128,Eb minor,0.875,0.252,0.466,0.542,0.961
2104092807.mp3,70,C# minor,0.604,0.797,0.653,0.025,0.959
2105196149.mp3,80,C# major,0.465,0.883,0.731,0.139,0.344
2105375532.mp3,125,Eb minor,0.548,0.599,0.477,0.205,0.970
2107755354.mp3,135,D minor,0.469,0.952,0.748,0.041,0.089
2110380901.mp3,123,C# major,0.085,0.967,0.779,0.043,0.161
2113243111.mp3,82,G minor,0.475,0.944,0.756,0.022,0.521
2137015546.mp3,120,B minor,0.769,0.835,0.801,0.201,0.730
2139373025.mp3,68,A minor,0.691,0.508,0.626,0.349,0.517
2140043125.mp3,87,C# major,0.174,0.969,0.733,0.068,0.193
2140043199.mp3,77,F major,0.400,0.971,0.631,0.071,0.820
2140046739.mp3,91,A major,0.302,0.940,0.633,0.076,0.804
2140621679.mp3,80,Ab minor,0.505,0.917,0.573,0.051,0.840
2140626510.mp3,144,A minor,0.364,0.858,0.629,0.166,0.260
2140785728.mp3,120,G major,0.435,0.954,0.735,0.053,0.293
2140798394.mp3,74,C major,0.341,0.962,0.856,0.038,0.062
2140842168.mp3,91,B minor,0.088,0.999,0.977,0.020,0.131
2141960420.mp3,128,Bb major,0.645,0.301,0.398,0.852,0.890
2144014463.mp3,85,C major,0.360,0.807,0.687,0.227,1.000
2144300840.mp3,97,G major,0.314,0.967,0.800,0.194,0.199
2150729253.mp3,91,C major,0.066,0.999,0.983,0.034,0.138
2153075290.mp3,80,D minor,0.177,0.997,0.919,0.081,0.896
2154010590.mp3,132,B minor,0.132,0.984,0.877,0.137,0.150
2600858052.mp3,70,D minor,0.326,0.601,0.613,0.397,0.986
2600977448.mp3,128,Ab major,0.757,0.527,0.685,0.257,1.000
2601383452.mp3,108,C major,0.453,0.954,0.708,0.026,0.364
2601383751.mp3,138,Eb major,0.642,0.940,0.577,0.010,0.281
2601383819.mp3,68,F major,0.585,0.956,0.775,0.014,0.524
2601385194.mp3,69,C minor,0.364,0.977,0.764,0.017,0.114
2601591190.mp3,75,Eb minor,0.179,0.981,0.763,0.034,0.407
2601591205.mp3,85,Eb major,0.353,0.970,0.711,0.029,0.116
2601690897.mp3,107,B minor,0.396,0.906,0.637,0.087,0.926
2601692325.mp3,81,F# minor,0.413,0.941,0.823,0.260,0.864
2601952990.mp3,121,C major,0.403,0.911,0.605,0.204,0.658
2602034945.mp3,58,Bb minor,0.743,0.892,0.753,0.028,0.237
2603214387.mp3,136,D major,0.463,0.855,0.919,0.072,0.860
2603792606.mp3,84,F# minor,0.151,0.980,0.795,0.070,0.362
2604173154.mp3,118,D major,0.418,0.940,0.696,0.098,0.261
2604185750.mp3,100,F major,0.254,0.883,0.653,0.092,0.881
2605792494.mp3,139,B minor,0.440,0.634,0.688,0.147,0.556
